bribe_title,name,transaction,amount,date,location,views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
Paid bribe behalf of our company,,Services,Paid INR 800,07-Nov-19,"Surat
                      , Gujarat",191 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
We were defaulters in paying the common board electricity bill in apartments,,Payment and Arrears,"Paid INR 5,000",07-Nov-19,"Chennai
                      , Tamil Nadu",230 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
UPCL new connection brige,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 1,500",06-Nov-19,"Dehradun
                      , Uttarakhand",233 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
Residential Building plan approval,Urban Development Authorities,Building Construction Approval,"Paid INR 30,000",06-Nov-19,"Chennai
                      , Tamil Nadu",263 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,,Telephone and Internet Connection,"Paid INR 20,000",06-Nov-19,"Lumding
                      , Assam",218 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
Bribe 500 Rs for issuing birth certificate,,"Births, Family and Care",Paid INR 500,05-Nov-19,"Kota
                      , Rajasthan",267 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
Pensioner Alive procedures,,Policies and Procedures,"Paid INR 2,000",05-Nov-19,"Nagpur
                      , Maharashtra",297 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Hubli
                      , Karnataka",303 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Mangalore
                      , Karnataka",281 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
We are looking for serious kidney donors for sum of 2 crore with…,Others,Others,"Paid INR 2,00,00,000",04-Nov-19,"Belgaum
                      , Karnataka",273 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
